CL_RN,COMERCIO_CON_MAS_CONSUMO,LIM_CREDITO,ANIO_COSECHA,COD_MORA,PAGO_CONTADO,METAL_TJT,COD_RANGO_EDAD
1,ARTÍCULOS Y SERVICIOS PERSONALES,10000.0,2017,0,S,5,6.0
2,ENTRETENIMIENTO - PARQUES,20120.0,2021,0,N,5,5.0
3,OTROS BIENES Y SERVICIOS,23400.0,2018,0,N,4,5.0
4,VENTAS EN AMBIENTES DE TARJETA AUSENTE,24960.0,2010,0,N,5,5.0
4,VENTAS EN AMBIENTES DE TARJETA AUSENTE,36400.0,2017,0,N,4,5.0
4,VENTAS EN AMBIENTES DE TARJETA AUSENTE,40000.0,2018,0,N,3,5.0
5,SUPERMERCADOS,31872.0,2021,0,S,3,8.0
6,RESTAURANTES,4000.0,2021,0,N,6,8.0
7,SUPERMERCADOS,4000.0,2021,0,N,6,9.0
8,RESTAURANTES,19200.0,2012,0,N,4,5.0
9,RESTAURANTES,25080.0,2020,0,N,3,4.0
10,SUPERMERCADOS,23400.0,2018,0,N,6,7.0
11,SUPERMERCADOS,13120.0,2017,0,N,5,6.0
12,RESTAURANTES,80000.0,2018,0,N,2,9.0
13,GASOLINERAS,20896.0,2022,0,N,6,9.0
14,AUTOMOTRIZ,17520.0,2017,0,N,6,5.0
15,MEDICINA,31200.0,2006,0,N,5,8.0
16,RESTAURANTES,32000.0,2019,0,N,5,6.0
16,RESTAURANTES,50160.0,2020,0,N,3,6.0
17,SUPERMERCADOS,4176.0,2022,0,S,6,10.0
18,ENTRETENIMIENTO - PARQUES,15184.0,2021,0,N,4,5.0
19,RESTAURANTES,7480.0,2022,0,N,6,9.0
20,RESTAURANTES,17808.0,2021,0,N,6,9.0
21,SUPERMERCADOS,8000.0,2020,0,N,5,10.0
22,RESTAURANTES,18304.0,2013,0,N,6,9.0
23,SUPERMERCADOS,10200.0,2020,0,N,6,7.0
24,ROPA/ACCESORIOS,13000.0,2022,0,N,5,6.0
25,RESTAURANTES,10328.0,2021,0,N,5,8.0
26,RECURRENTES,118560.0,2016,0,N,6,7.0
27,RESTAURANTES,9528.0,2020,0,N,6,9.0
28,TELECOMUNICACIONES,24592.0,2020,0,N,1,6.0
29,TELECOMUNICACIONES,33000.0,2019,0,N,3,7.0
30,SUPERMERCADOS,8000.0,2022,0,N,5,10.0
31,TELECOMUNICACIONES,11880.0,2021,0,N,6,10.0
32,COMIDA/ABARROTES,21696.0,2021,0,N,4,6.0
33,RECURRENTES,8840.0,2017,0,N,6,10.0
34,COMIDA/ABARROTES,27000.0,2017,0,N,6,6.0
35,TIENDAS/ALMACENES DEPARTAMENTALES,36760.0,2019,0,N,3,10.0
36,RESTAURANTES,8728.0,2012,0,N,6,8.0
37,RESTAURANTES,40000.0,2012,0,N,5,10.0
38,RECURRENTES,12000.0,2017,0,N,6,6.0
39,RESTAURANTES,48000.0,2021,0,N,3,5.0
40,SUPERMERCADOS,80000.0,2021,0,S,3,6.0
41,RESTAURANTES,35360.0,2016,0,N,2,10.0
42,ALOJAMIENTO,13000.0,2021,0,N,5,5.0
43,SUPERMERCADOS,33600.0,2017,0,N,4,5.0
44,RESTAURANTES,36360.0,2020,0,N,1,6.0
45,TELECOMUNICACIONES,4000.0,2021,0,N,6,9.0
46,TELECOMUNICACIONES,24000.0,2017,0,N,4,11.0
46,TELECOMUNICACIONES,27200.0,2015,0,N,4,11.0
47,RESTAURANTES,9600.0,2012,0,S,5,8.0
48,EDUCACIÓN,24256.0,2021,0,N,1,8.0
49,TELECOMUNICACIONES,4000.0,2021,0,S,6,7.0
50,COMIDA/ABARROTES,24720.0,2019,0,N,4,7.0
51,RESTAURANTES,9800.0,2012,0,N,5,9.0
52,TELECOMUNICACIONES,32000.0,2020,0,N,4,5.0
53,RESTAURANTES,7000.0,2015,0,S,5,6.0
54,ELECTRÓNICA,4000.0,2022,0,S,6,9.0
55,TELECOMUNICACIONES,13160.0,2021,0,N,5,8.0
56,SUPERMERCADOS,28000.0,2021,0,S,1,7.0
57,SUPERMERCADOS,20240.0,2018,0,N,6,6.0
57,SUPERMERCADOS,22264.0,2021,0,N,4,6.0
58,RESTAURANTES,66608.0,2019,0,N,2,6.0
58,RESTAURANTES,73264.0,2020,0,N,2,6.0
59,CONSTRUCCIÓN,45000.0,2021,0,N,2,7.0
60,TELECOMUNICACIONES,9000.0,2015,0,S,6,5.0
61,TELECOMUNICACIONES,10000.0,2021,0,S,5,8.0
62,SUPERMERCADOS,16000.0,2022,0,N,5,8.0
63,SUPERMERCADOS,4000.0,2019,0,N,6,9.0
64,RESTAURANTES,12000.0,2019,0,N,6,9.0
65,SUPERMERCADOS,11472.0,2021,0,N,5,8.0
66,MERCANCÍA GENERAL,30000.0,2021,0,S,3,8.0
67,TRANSPORTE,19360.0,2022,0,N,4,5.0
68,RECURRENTES,104000.0,2018,0,N,2,9.0
69,SUPERMERCADOS,49480.0,2020,0,N,3,8.0
70,JOYERÍAS,80000.0,2021,0,N,2,8.0
71,REGALOS,71440.0,2011,0,S,6,7.0
72,MEDICINA,11840.0,2015,0,N,5,8.0
73,SUPERMERCADOS,8000.0,2021,0,N,6,8.0
74,RESTAURANTES,88800.0,2017,0,S,4,8.0
75,AUTOMOTRIZ,80000.0,2021,0,N,2,8.0
75,AUTOMOTRIZ,104000.0,2021,0,N,2,8.0
76,AUTOMOTRIZ,4000.0,2022,0,N,6,8.0
77,RECURRENTES,21000.0,2020,0,N,4,9.0
78,GASTOS DE VIAJE,15600.0,2013,0,N,6,8.0
79,RESTAURANTES,125120.0,2019,0,N,2,8.0
80,RECURRENTES,47416.0,2020,0,N,3,8.0
81,GASOLINERAS,7496.0,2021,0,S,6,9.0
82,OTROS BIENES Y SERVICIOS,10120.0,2013,0,N,6,7.0
82,OTROS BIENES Y SERVICIOS,10600.0,2014,0,N,5,7.0
83,RESTAURANTES,39200.0,2012,0,N,4,10.0
84,SUPERMERCADOS,104000.0,2020,0,N,3,10.0
85,RESTAURANTES,6000.0,2014,0,N,6,9.0
86,CONSTRUCCIÓN,65520.0,2012,0,N,5,9.0
87,ENTRETENIMIENTO - PARQUES,47320.0,2014,0,N,2,10.0
88,CONSTRUCCIÓN,8000.0,2015,0,N,4,10.0
89,SUPERMERCADOS,18000.0,2021,0,S,4,9.0
90,GASOLINERAS,34000.0,2021,0,N,3,10.0
91,CONSTRUCCIÓN,104000.0,2019,0,S,2,10.0
92,COMIDA/ABARROTES,52800.0,2022,0,N,2,9.0
93,ENTRETENIMIENTO - PARQUES,20280.0,2019,0,N,6,6.0
95,SUPERMERCADOS,20800.0,2016,0,N,4,9.0
96,GASOLINERAS,5200.0,2020,0,N,6,10.0
97,SUPERMERCADOS,4000.0,2022,0,N,6,8.0
98,TELECOMUNICACIONES,174144.0,2011,0,N,3,11.0
99,COMIDA/ABARROTES,7120.0,2020,0,S,6,12.0
100,SUPERMERCADOS,8248.0,2021,0,N,5,10.0
101,RESTAURANTES,61200.0,2019,0,N,4,11.0
102,SUPERMERCADOS,198400.0,2011,0,N,2,12.0
103,RESTAURANTES,5000.0,2021,0,N,6,6.0
104,MERCANCÍA GENERAL,57600.0,2022,0,N,2,6.0
105,GASTOS DE VIAJE,59400.0,2019,0,N,3,6.0
105,GASTOS DE VIAJE,107960.0,2017,0,N,4,6.0
106,SUPERMERCADOS,39000.0,2014,0,N,4,7.0
107,GOBIERNO,23400.0,2021,0,N,5,8.0
108,ORGANISMOS,195960.0,2019,0,N,2,6.0
109,SUPERMERCADOS,12000.0,2022,0,N,4,6.0
110,ENTRETENIMIENTO - PARQUES,20000.0,2014,0,N,4,8.0
110,ENTRETENIMIENTO - PARQUES,39760.0,2014,0,N,5,8.0
110,ENTRETENIMIENTO - PARQUES,43736.0,2021,0,N,2,8.0
111,RESTAURANTES,20000.0,2011,0,N,4,12.0
112,ARTÍCULOS Y SERVICIOS PERSONALES,81200.0,2011,0,N,3,12.0
113,RECURRENTES,37800.0,2011,0,S,6,6.0
114,RESTAURANTES,35000.0,2019,0,N,3,6.0
115,RESTAURANTES,80000.0,2021,0,N,3,6.0
116,TRANSPORTE,7800.0,2021,0,N,5,5.0
117,GASOLINERAS,11200.0,2015,0,S,4,7.0
118,RESTAURANTES,6000.0,2022,0,S,5,5.0
119,RESTAURANTES,30000.0,2021,0,N,1,6.0
120,VENTAS EN AMBIENTES DE TARJETA AUSENTE,68600.0,2022,0,N,2,5.0
121,RESTAURANTES,17504.0,2017,0,N,6,5.0
122,ARTÍCULOS Y SERVICIOS PERSONALES,11000.0,2017,0,S,4,5.0
